Control	Case	Stress
control_9days_acidity	stress_9days_acidity	acidity
control_root	stress_acidity	acidity
control_control_sens	control_stress2.5_sens	alkalinity
control_control_sens	control_stress5_sens	alkalinity
control_control_tol	control_stress2.5_tol	alkalinity
control_control_tol	control_stress5_tol	alkalinity
control	stress	cadmium
control_root	stress_CO2	co2
controlCO2_control	stressCO2_control	co2
control	stress_1h	cold
control	stress_24h	cold
control_4h	stress_4h	drought
control_8h	stress_8h	drought
control_12h	stress_12h	drought
control_16h	stress_16h	drought
control_20h	stress_20h	drought
control_24h	stress_24h	drought
control_mild	stress_mild	drought
control_verymild	stress_verymild	drought
control_severe	stress_severe	drought
controlCO2_control	controlCO2_50min	drought
control	stress_8h_drought	drought
control_0h	stress_1h_drought	drought
control_0h	stress_6h_drought	drought
control_0h	stress_12h_drought	drought
control_root	stress_drought	drought
control	stress_8h_heat	heat
control	stress_24h_heat	heat
control_6HAI_PI587982	stress_6HAI_PI587982	heat
control_6HAI_PI636696	stress_germinated_PI636696	heat
control_germinated_PI587982	stress_germinated_PI587982	heat
control_germinated_PI636696	stress_germinated_PI636696	heat
control_mature_PI587982	stress_mature_PI587982	heat
control_mature_PI636696	stress_mature_PI636696	heat
control_root	stress_heat	heat
control_single	stress_single	herbicide
control_stacked	stress_stacked	herbicide
control_1h_leaves	stress_1h_leaves	iron
control_1h_root	stress_1h_root	iron
control_6h_leaves	stress_6h_leaves	iron
control_6h_root	stress_6h_root	iron
control_root_iron	stress_root	iron
control_control_sens	stress_control_sens	iron
control_control_tol	stress_control_tol	iron
control_root	stress_iron	iron
control_root	stress_nitrogen	nitrogen
control_block	stress_block_ozone	ozone
control_leaves	stress_leaves	ozone
control_flower	stress_flower	ozone
control_pod	stress_pod	ozone
control_root	stress_phosphorus	phosphorus
control_leaves	stress_leaves	phosphorus
control_nodule	stress_nodule	phosphorus
control_Bogao_root	stress_Bogao_root	phosphorus
control_Nannong_root	stress_Nannong_root	phosphorus
control_root	stress_potassium	potassium
control_0h	stress_1h_salt	salt
control_0h	stress_6h_salt	salt
control_0h	stress_12h_salt	salt
control_root	stress_salt	salt
control_4h_leaves	stress_4h_leaves	salt
control_12h_leaves	stress_12h_leaves	salt
control_leaves	stress_1h_leaves	salt
control_leaves	stress_2h_leaves	salt
control_leaves	stress_4h_leaves	salt
control_leaves	stress_24h_leaves	salt
control_leaves	stress_48h_leaves	salt
control_root	stress_1h_root	salt
control_root	stress_2h_root	salt
control_root	stress_4h_root	salt
control_root	stress_24h_root	salt
control_root	stress_48h_root	salt
control_res	stress_res_6h	aglycines
control_res	stress_res_12h	aglycines
control_res	stress_res_48h	aglycines
control_sus	stress_sus_6h	aglycines
control_sus	stress_sus_12h	aglycines
control_sus	stress_sus_48h	aglycines
control_24HAI_antibiotic	stress_24HAI_antibiotic	aglycines
control_24HAI_antixenotic	stress_24HAI_antixenotic	aglycines
control_24HAI_susceptible	stress_24HAI_susceptible	aglycines
control_48HAI_antibiotic	stress_48HAI_antibiotic	aglycines
control_48HAI_antixenotic	stress_48HAI_antixenotic	aglycines
control_48HAI_susceptible	stress_48HAI_susceptible	aglycines
control_96HAI_antibiotic	stress_96HAI_antibiotic	aglycines
control_96HAI_antixenotic	stress_96HAI_antixenotic	aglycines
control_96HAI_susceptible	stress_96HAI_susceptible	aglycines
res_0h	sus_0h	aglycines
res_4h	sus_4h	aglycines
res_8h	sus_8h	aglycines
res_24h	sus_24h	aglycines
res_48h	sus_48h	aglycines
control_72h	stress_72h_FO36	foxysporum
control_72h	stress_72h_FO40	foxysporum
control_96h	stress_96h_FO36	foxysporum
control_96h	stress_96h_FO40	foxysporum
control_393826	stress_393826	foxysporum
control_599037	stress_599037	foxysporum
control_10-24days	stress_10-24days	fvirguliforme
control_3-5days	stress_3-5days	fvirguliforme
control_0dpi	stress_0dpi	fvirguliforme
control_2dpi	stress_2dpi	fvirguliforme
control_4dpi	stress_4dpi	fvirguliforme
control_7dpi	stress_7dpi	fvirguliforme
control_10dpi	stress_10dpi	fvirguliforme
control_14dpi	stress_14dpi	fvirguliforme
control_10days	stress_10days	hglycines
control_10days	stress_15days	hglycines
control_10days	stress_20days	hglycines
control_res	stress_res	hglycines
control_sus	stress_sus	hglycines
control_LD	stress_LD	mamp
control_LDX	stress_LDX	mamp
control_RIL-11268	stress_RIL-11268	mamp
control_RIL-11272	stress_RIL-11272	mamp
control_res	stress_res	pgregata
control_sus	stress_sus	pgregata
control_12h	stress_12h	pgregata
control_24h	stress_24h	pgregata
control_36h	stress_36h	pgregata
control_res_24h	stress_res_24h	ppachyrhizi
control_sus_24h	stress_sus_24h	ppachyrhizi
control	stress_7hai	ppachyrhizi
control	stress_10dai	ppachyrhizi
control	stress_48hai	ppachyrhizi
control_rps	stress_rps	psojae
control_0hpi	stress_0.5hpi	psojae
control_0hpi	stress_3hpi	psojae
control_0hpi	stress_6hpi	psojae
control_0hpi	stress_12hpi	psojae
control	stress	psojae
control_24h	stress_24h	psojae_gluc_elic
control_48h	stress_48h	psojae_gluc_elic
control_3days	stress_3days	rreniformis
control_6days	stress_6days	rreniformis
control_9days	stress_9days	rreniformis
control_12days	stress_12days	rreniformis
control	stress	slitura
control	stress_SMV-G7	smv
control	stress_SMV-L	smv
stress_0hpi_res	stress_0hpi_sus	smv
stress_2hpi_res	stress_2hpi_sus	smv
stress_4hpi_res	stress_4hpi_sus	smv
stress_6hpi_res	stress_6hpi_sus	smv
stress_8hpi_res	stress_8hpi_sus	smv
